SchoolId,Lat,Lng,FinanceId,SchoolName,Address,Phone,SchoolNetworkName,SchoolType,PARENT_MAX,PARENT_CAND,PARENT_STAT,COMMUNITY_MAX,COMMUNITY_CAND,COMMUNITY_STAT,TEACHER_MAX,TEACHER_CAND,TEACHER_STAT,STUDENT_MAX,STUDENT_CAND,STUDENT_STAT,NONTCHSTAFF_MAX,NONTCHSTAFF_CAND,NONTCHSTAFF_STAT,ADVOCATE_MAX,ADVOCATE_CAND,ADVOCATE_STAT,JROTC_INSTR_MAX,JROTC_INSTR_CAND,JROTC_INSTR_STAT,BUSINESS_MAX,BUSINESS_CAND,BUSINESS_STAT,COMMANDANT_MAX,COMMANDANT_CAND,COMMANDANT_STAT,CADET_CMDR_MAX,CADET_CMDR_CAND,CADET_CMDR_STAT,ED_EXPERT_MAX,ED_EXPERT_CAND,ED_EXPERT_STAT,JudgeApplCt,CandidateCt,QuorumCt,SortNetwork
400018,41.885213,-87.763286,66411,AUSTIN BUS & ENTRP HS,"231 N Pine Ave, Chicago, IL 60644",(773)534-6316,NETWORK 3,HS,6,3,I,2,1,I,2,2,S,1,1,S,0,0,,2,1,I,0,0,,0,0,,0,0,,0,0,,0,0,,1,9,8,NETWORK 03
609674,41.737146,-87.573267,53011,CHICAGO VOCATIONAL HS,"2100 E 87th St, Chicago, IL 60617",(773)535-6100,OS4,HS,6,3,I,2,2,S,2,2,S,1,0,I,1,1,S,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,3,8,8,OS4
609676,41.840226,-87.617601,53021,DUNBAR HS,"3000 S King Dr, Chicago, IL 60616",(773)534-9000,NETWORK 9,HS,6,4,I,2,3,C,2,2,S,1,0,I,1,1,S,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10,10,9,NETWORK 09
609678,41.873067,-87.627639,47021,JONES HS,"700 S State St, Chicago, IL 60605",(773)534-8600,NETWORK 6,HS,6,12,C,2,4,C,2,2,S,1,3,C,1,1,S,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,4,22,12,NETWORK 06
609679,41.92006,-87.761012,53041,PROSSER HS,"2148 N Long Ave, Chicago, IL 60639",(773)534-3200,NETWORK 3,HS,6,6,S,2,4,C,2,2,S,1,1,S,1,1,S,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,3,14,12,NETWORK 03
609680,41.901546,-87.634464,70020,PAYTON HS,"1034 N Wells St, Chicago, IL 60610",(773)534-0034,NETWORK 6,HS,6,8,C,2,4,C,2,2,S,1,3,C,1,1,S,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,18,12,NETWORK 06
609682,41.802881,-87.662315,53051,RICHARDS HS,"5009 S Laflin St, Chicago, IL 60609",(773)535-4945,OS4,HS,6,4,I,2,0,I,2,2,S,1,2,C,1,1,S,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,9,8,OS4
609691,41.911646,-87.735237,46431,NORTH-GRAND HS,"4338 W Wabansia Ave, Chicago, IL 60639",(773)534-8520,NETWORK 5,HS,6,8,C,2,1,I,2,4,C,1,2,C,1,1,S,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,4,16,11,NETWORK 05
609692,41.745787,-87.635446,53061,SIMEON HS,"8147 S Vincennes Ave, Chicago, IL 60620",(773)535-3200,NETWORK 11,HS,6,6,S,2,1,I,2,4,C,1,0,I,1,1,S,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5,12,10,NETWORK 11
609693,41.890005,-87.707333,53071,GEORGE WESTINGHOUSE HS,"3223 W Franklin Blvd, Chicago, IL 60624",(773)534-6400,NETWORK 5,HS,6,14,C,2,4,C,2,2,S,1,5,C,1,1,S,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,4,26,12,NETWORK 05
609694,41.791436,-87.72447,46021,HANCOCK HS,"4034 W 56th St, Chicago, IL 60629",(773)535-2410,OS4,HS,6,6,S,2,1,I,2,3,C,1,1,S,1,2,C,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,4,13,11,OS4
609695,41.975068,-87.679447,46031,AMUNDSEN HS,"5110 N Damen Ave, Chicago, IL 60625",(773)534-2320,NETWORK 2,HS,6,5,I,2,7,C,2,2,S,1,1,S,1,1,S,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,16,11,NETWORK 02
609698,41.749403,-87.721098,46041,BOGAN HS,"3939 W 79th St, Chicago, IL 60652",(773)535-2180,OS4,HS,6,9,C,2,4,C,2,3,C,1,4,C,1,1,S,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5,21,12,OS4
609702,41.877529,-87.683249,46081,CRANE HS,"2245 W Jackson Blvd, Chicago, IL 60612",(773)534-7550,NETWORK 6,HS,6,1,I,2,2,S,2,2,S,1,0,I,1,1,S,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,6,6,6,NETWORK 06
609704,41.848559,-87.708742,53091,FARRAGUT HS,"2345 S Christiana Ave, Chicago, IL 60623",(773)534-1300,NETWORK 7,HS,6,12,C,2,7,C,2,5,C,1,5,C,1,5,C,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,3,34,12,NETWORK 07
609705,41.689951,-87.637535,46111,FENGER HS,"11220 S Wallace St, Chicago, IL 60628",(773)535-5430,NETWORK 13,HS,6,8,C,2,5,C,2,2,S,1,2,C,1,1,S,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,6,18,12,NETWORK 13
609707,41.769713,-87.637189,46121,ROBESON HS,"6835 S Normal Blvd, Chicago, IL 60621",(773)535-3800,NETWORK 11,HS,6,0,I,2,2,S,2,1,I,1,2,C,1,0,I,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,8,5,4,NETWORK 11
609708,41.939796,-87.754203,46131,FOREMAN HS,"3235 N LeClaire Ave, Chicago, IL 60641",(773)534-3400,NETWORK 1,HS,6,6,S,2,2,S,2,7,C,1,1,S,1,2,C,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,4,18,12,NETWORK 01
609709,41.791013,-87.688917,46141,GAGE PARK HS,"5630 S Rockwell St, Chicago, IL 60629",(773)535-9230,NETWORK 8,HS,6,3,I,2,2,S,2,3,C,1,0,I,1,1,S,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,4,9,8,NETWORK 08
